time,year,month,lat,lon,County ,lw_down,sw_down,t,wind,q,pstar,precip,date_time_utc,date_time_local,cosz,diff_rad
0,2014,1,-20.3696,-51.4191,Selviria ,428.93365,6.535547,300.40482,2.0872371,0.020212652,97051.2,2.88E-05,1/1/2014 0:00,12/31/2013 21:00,0,6.535547
10800,2014,1,-20.3696,-51.4191,Selviria ,424.60147,0,298.41507,2.1928499,0.018868035,97065.24,0,1/1/2014 3:00,1/1/2014 0:00,0,0
21600,2014,1,-20.3696,-51.4191,Selviria ,408.33945,0,297.18448,2.1983614,0.017814549,96914.63,0,1/1/2014 6:00,1/1/2014 3:00,0,0
32400,2014,1,-20.3696,-51.4191,Selviria ,392.62604,0,296.13678,2.141676,0.01685064,97014.5,0,1/1/2014 9:00,1/1/2014 6:00,0.039659036,0
43200,2014,1,-20.3696,-51.4191,Selviria ,411.8218,253.37013,301.31396,3.3250577,0.019628834,97147,5.42E-05,1/1/2014 12:00,1/1/2014 9:00,0.674184843,223.3702075
54000,2014,1,-20.3696,-51.4191,Selviria ,439.3378,638.7877,306.36996,3.9320257,0.021049092,97035.586,0.000193774,1/1/2014 15:00,1/1/2014 12:00,0.993520253,422.0263444
64800,2014,1,-20.3696,-51.4191,Selviria ,463.92203,642.4147,309.36423,2.681335,0.020590436,96770.22,5.82E-05,1/1/2014 18:00,1/1/2014 15:00,0.810602914,320.611669
75600,2014,1,-20.3696,-51.4191,Selviria ,461.094,290.63416,307.20267,1.0167186,0.02023723,96704.88,4.99E-05,1/1/2014 21:00,1/1/2014 18:00,0.232583322,90.82789436
86400,2014,1,-20.3696,-51.4191,Selviria ,444.26105,8.758783,303.37338,1.7394758,0.019252697,96990.13,0,1/2/2014 0:00,1/1/2014 21:00,0,8.758783
97200,2014,1,-20.3696,-51.4191,Selviria ,430.27753,0,300.88492,2.2133052,0.017405111,96965.3,0,1/2/2014 3:00,1/2/2014 0:00,0,0
108000,2014,1,-20.3696,-51.4191,Selviria ,408.71356,0,298.75388,2.3309824,0.016632287,96756.42,0,1/2/2014 6:00,1/2/2014 3:00,0,0
118800,2014,1,-20.3696,-51.4191,Selviria ,400.91452,0,297.63916,2.5131247,0.016101688,96827.15,0,1/2/2014 9:00,1/2/2014 6:00,0.039158526,0
129600,2014,1,-20.3696,-51.4191,Selviria ,420.65628,272.95535,304.08212,2.845428,0.020317143,97028.71,0,1/2/2014 12:00,1/2/2014 9:00,0.674057151,234.1343232
140400,2014,1,-20.3696,-51.4191,Selviria ,435.25323,687.5542,304.9487,3.4247139,0.020415854,96867.92,0.000337974,1/2/2014 15:00,1/2/2014 12:00,0.993580188,421.8369287
151200,2014,1,-20.3696,-51.4191,Selviria ,448.19537,658.178,305.8223,3.18994,0.021807434,96678.68,0.000233813,1/2/2014 18:00,1/2/2014 15:00,0.810555375,313.898363
162000,2014,1,-20.3696,-51.4191,Selviria ,443.6971,329.37976,303.4849,2.1988091,0.021228313,96632.625,0.000106471,1/2/2014 21:00,1/2/2014 18:00,0.232196166,103.0293273
172800,2014,1,-20.3696,-51.4191,Selviria ,428.5255,8.123754,301.69635,1.7249781,0.02067251,96786.11,0,1/3/2014 0:00,1/2/2014 21:00,0,8.123754
183600,2014,1,-20.3696,-51.4191,Selviria ,407.93585,0,298.91794,2.151753,0.016558697,96836.805,0,1/3/2014 3:00,1/3/2014 0:00,0,0
194400,2014,1,-20.3696,-51.4191,Selviria ,396.45596,0,297.2903,1.9247866,0.01599829,96762.9,0,1/3/2014 6:00,1/3/2014 3:00,0,0
205200,2014,1,-20.3696,-51.4191,Selviria ,392.32367,0,296.2228,1.9386861,0.015647268,96888.05,0,1/3/2014 9:00,1/3/2014 6:00,0.038615055,0
216000,2014,1,-20.3696,-51.4191,Selviria ,419.10605,274.38882,304.34744,2.1580076,0.021040892,97085.98,0,1/3/2014 12:00,1/3/2014 9:00,0.673917057,234.856332
226800,2014,1,-20.3696,-51.4191,Selviria ,443.73962,697.052,306.2165,2.0459108,0.021629944,97085.36,0.000190901,1/3/2014 15:00,1/3/2014 12:00,0.9936431,421.0588513
237600,2014,1,-20.3696,-51.4191,Selviria ,448.2662,737.3719,304.8785,1.9246167,0.02229587,96859.35,9.13E-05,1/3/2014 18:00,1/3/2014 15:00,0.810502004,260.6182246
248400,2014,1,-20.3696,-51.4191,Selviria ,449.2263,354.27643,304.3454,1.7794288,0.022125311,96821.5,3.81E-05,1/3/2014 21:00,1/3/2014 18:00,0.231775339,111.2271199
259200,2014,1,-20.3696,-51.4191,Selviria ,420.72293,12.228027,301.933,1.0625379,0.021107417,97082.46,0,1/4/2014 0:00,1/3/2014 21:00,0,12.228027
270000,2014,1,-20.3696,-51.4191,Selviria ,407.7911,0,299.25748,1.4901937,0.019443847,97207.31,0,1/4/2014 3:00,1/4/2014 0:00,0,0
280800,2014,1,-20.3696,-51.4191,Selviria ,397.34354,0,297.51154,1.3990873,0.018230204,97102.77,0,1/4/2014 6:00,1/4/2014 3:00,0,0
291600,2014,1,-20.3696,-51.4191,Selviria ,388.70706,0,296.0575,1.3825982,0.017227633,97125.71,0,1/4/2014 9:00,1/4/2014 6:00,0.038028764,0
302400,2014,1,-20.3696,-51.4191,Selviria ,415.844,272.58948,303.36703,2.6417913,0.021073008,97231.47,8.67E-05,1/4/2014 12:00,1/4/2014 9:00,0.673764241,233.8826248
313200,2014,1,-20.3696,-51.4191,Selviria ,439.22137,671.28345,305.41684,1.76863,0.02108381,97201.82,0.000181855,1/4/2014 15:00,1/4/2014 12:00,0.993708438,422.5588776
324000,2014,1,-20.3696,-51.4191,Selviria ,454.96072,772.3686,306.86703,1.6262571,0.022690969,97049.04,2.11E-05,1/4/2014 18:00,1/4/2014 15:00,0.810442382,222.8874712
334800,2014,1,-20.3696,-51.4191,Selviria ,454.98175,402.25586,306.86392,1.5480672,0.022074623,97009.805,0,1/4/2014 21:00,1/4/2014 18:00,0.231320844,126.7750605
345600,2014,1,-20.3696,-51.4191,Selviria ,434.5878,13.198869,303.09946,2.6059835,0.02119217,97163.82,0,1/5/2014 0:00,1/4/2014 21:00,0,13.198869
356400,2014,1,-20.3696,-51.4191,Selviria ,419.71317,0,300.68582,2.4609764,0.019975577,97217.39,0,1/5/2014 3:00,1/5/2014 0:00,0,0
367200,2014,1,-20.3696,-51.4191,Selviria ,411.21365,0,299.32864,2.9330163,0.019142581,97122.89,0,1/5/2014 6:00,1/5/2014 3:00,0,0
378000,2014,1,-20.3696,-51.4191,Selviria ,401.89572,0,297.3391,3.5873349,0.01749511,97253.88,0,1/5/2014 9:00,1/5/2014 6:00,0.037399807,0
388800,2014,1,-20.3696,-51.4191,Selviria ,412.75598,238.22339,301.13525,3.8975847,0.019379895,97378.195,0,1/5/2014 12:00,1/5/2014 9:00,0.673598364,214.2601604
399600,2014,1,-20.3696,-51.4191,Selviria ,441.24768,657.03125,305.14505,3.059463,0.020692715,97276.234,0.000268163,1/5/2014 15:00,1/5/2014 12:00,0.993775613,422.6746944
410400,2014,1,-20.3696,-51.4191,Selviria ,446.61053,699.67737,305.32556,2.412928,0.021376377,97073.54,0.00036475,1/5/2014 18:00,1/5/2014 15:00,0.810376063,290.1663153
421200,2014,1,-20.3696,-51.4191,Selviria ,437.02884,361.3563,304.49875,1.4628799,0.021158872,97039.86,0.000241639,1/5/2014 21:00,1/5/2014 18:00,0.230832684,114.1558215
432000,2014,1,-20.3696,-51.4191,Selviria ,412.25058,14.601373,300.99036,2.2213898,0.01980277,97148.64,0,1/6/2014 0:00,1/5/2014 21:00,0,14.601373
442800,2014,1,-20.3696,-51.4191,Selviria ,396.71564,0,298.71054,2.01361,0.018488862,97229.55,0,1/6/2014 3:00,1/6/2014 0:00,0,0
453600,2014,1,-20.3696,-51.4191,Selviria ,390.26923,0,297.30188,2.3826869,0.01744027,97098.62,0,1/6/2014 6:00,1/6/2014 3:00,0,0
464400,2014,1,-20.3696,-51.4191,Selviria ,385.89603,0,296.6197,2.3724225,0.016628673,97143.99,0,1/6/2014 9:00,1/6/2014 6:00,0.036728349,0
475200,2014,1,-20.3696,-51.4191,Selviria ,415.21887,211.22874,301.84683,2.3939917,0.019693973,97309.22,0,1/6/2014 12:00,1/6/2014 9:00,0.673419062,196.703272
486000,2014,1,-20.3696,-51.4191,Selviria ,448.99283,582.414,306.73935,2.4612782,0.01766962,97239.85,0.00016932,1/6/2014 15:00,1/6/2014 12:00,0.993843996,415.3420629
496800,2014,1,-20.3696,-51.4191,Selviria ,444.83307,616.49664,309.15076,2.2558,0.016382571,96960.125,0.000176706,1/6/2014 18:00,1/6/2014 15:00,0.81030257,329.1036478
507600,2014,1,-20.3696,-51.4191,Selviria ,439.23227,348.22958,308.8113,2.1120684,0.016197402,96856.91,0,1/6/2014 21:00,1/6/2014 18:00,0.230310863,110.0495145
518400,2014,1,-20.3696,-51.4191,Selviria ,428.40616,11.583328,303.64502,2.6819873,0.014941053,97062.72,0,1/7/2014 0:00,1/6/2014 21:00,0,11.583328
529200,2014,1,-20.3696,-51.4191,Selviria ,420.193,0,300.88412,2.9016404,0.013823525,97127.51,0,1/7/2014 3:00,1/7/2014 0:00,0,0
540000,2014,1,-20.3696,-51.4191,Selviria ,409.34885,0,298.7763,2.7652953,0.013386544,96984.48,0,1/7/2014 6:00,1/7/2014 3:00,0,0
550800,2014,1,-20.3696,-51.4191,Selviria ,389.78214,0,296.88672,2.4564734,0.012899458,97057.76,0,1/7/2014 9:00,1/7/2014 6:00,0.036014566,0
561600,2014,1,-20.3696,-51.4191,Selviria ,399.6311,222.3175,301.96918,2.2059875,0.016129954,97239.664,0,1/7/2014 12:00,1/7/2014 9:00,0.673225949,204.1201272
572400,2014,1,-20.3696,-51.4191,Selviria ,432.46127,671.6264,307.0257,2.1448884,0.017106658,97139.55,0.000127261,1/7/2014 15:00,1/7/2014 12:00,0.993912919,422.6609397
583200,2014,1,-20.3696,-51.4191,Selviria ,449.33505,675.37085,307.78918,2.2922523,0.015665479,97013.11,0,1/7/2014 18:00,1/7/2014 15:00,0.810221398,304.8325251
594000,2014,1,-20.3696,-51.4191,Selviria ,439.64297,331.3994,305.46848,1.9384359,0.016097805,96890.61,5.85E-05,1/7/2014 21:00,1/7/2014 18:00,0.229755388,105.014584
604800,2014,1,-20.3696,-51.4191,Selviria ,423.88217,14.992994,303.1189,1.6696581,0.017648563,97136.4,0,1/8/2014 0:00,1/7/2014 21:00,0,14.992994
615600,2014,1,-20.3696,-51.4191,Selviria ,404.57736,0,298.7423,2.4843276,0.016585553,97134.03,0,1/8/2014 3:00,1/8/2014 0:00,0,0
626400,2014,1,-20.3696,-51.4191,Selviria ,394.6134,0,296.9171,2.1253767,0.016079878,97049.836,0,1/8/2014 6:00,1/8/2014 3:00,0,0
637200,2014,1,-20.3696,-51.4191,Selviria ,389.63422,0,295.86945,1.5356274,0.015657738,97147.555,0,1/8/2014 9:00,1/8/2014 6:00,0.035258648,0
648000,2014,1,-20.3696,-51.4191,Selviria ,411.1515,251.03596,301.7761,1.3962991,0.018920572,97386.34,0,1/8/2014 12:00,1/8/2014 9:00,0.67301862,221.8566131
658800,2014,1,-20.3696,-51.4191,Selviria ,430.92,587.399,302.5881,2.6532302,0.018419381,97293.234,0.000276242,1/8/2014 15:00,1/8/2014 12:00,0.993981676,416.2666522
669600,2014,1,-20.3696,-51.4191,Selviria ,428.41318,555.8751,301.14233,2.872831,0.019310294,97107.5,0.000337163,1/8/2014 18:00,1/8/2014 15:00,0.810132011,339.669669
680400,2014,1,-20.3696,-51.4191,Selviria ,426.42914,253.98003,300.48572,1.245565,0.018590568,97021.99,0.000131629,1/8/2014 21:00,1/8/2014 18:00,0.229166266,80.7915066
691200,2014,1,-20.3696,-51.4191,Selviria ,404.10367,10.730176,298.58698,1.1831278,0.0178786,97163.87,0,1/9/2014 0:00,1/8/2014 21:00,0,10.730176
702000,2014,1,-20.3696,-51.4191,Selviria ,390.88913,0,297.9661,1.2653829,0.017420135,97213.54,0,1/9/2014 3:00,1/9/2014 0:00,0,0
712800,2014,1,-20.3696,-51.4191,Selviria ,379.46326,0,296.0121,1.1304059,0.016534483,97037.07,0,1/9/2014 6:00,1/9/2014 3:00,0,0
723600,2014,1,-20.3696,-51.4191,Selviria ,369.7398,0,294.44516,0.928421,0.015730092,97064.984,0,1/9/2014 9:00,1/9/2014 6:00,0.034460797,0
734400,2014,1,-20.3696,-51.4191,Selviria ,399.98,255.94511,301.4857,0.62456053,0.019145902,97304.91,0,1/9/2014 12:00,1/9/2014 9:00,0.672796649,224.6547854
745200,2014,1,-20.3696,-51.4191,Selviria ,436.53125,636.98987,305.7729,1.8384322,0.01892802,97202.72,0.000119923,1/9/2014 15:00,1/9/2014 12:00,0.994049527,422.1041806
756000,2014,1,-20.3696,-51.4191,Selviria ,441.149,671.7971,305.57352,1.793997,0.01976598,96969.64,0.000159412,1/9/2014 18:00,1/9/2014 15:00,0.81003385,306.6055281
766800,2014,1,-20.3696,-51.4191,Selviria ,431.6037,312.7359,303.01993,1.6388794,0.020209875,96874.16,0.000114685,1/9/2014 21:00,1/9/2014 18:00,0.228543508,99.59843944
